anchor_pressed_key_f1_mean,anchor_pressed_key_f1_min,audio_mode,checkpoint_step,delta_pressed_key_f1_correct_minus_mismatch,delta_pressed_key_f1_correct_minus_zero,delta_timestep_f1_correct_minus_mismatch,delta_timestep_f1_correct_minus_zero,delta_transition_f1_correct_minus_mismatch,delta_transition_f1_correct_minus_zero,integrated_unintended_mean,max_unintended_max,max_unintended_mean,pressed_key_f1_mean,pressed_key_f1_min,pressed_key_precision_mean,pressed_key_recall_mean,sequence_count,timestep_f1_mean,timestep_f1_min,transition_pressed_key_f1_mean,transition_pressed_key_f1_min,transition_timestep_f1_mean,transition_timestep_f1_min,wrong_press_count_mean,wrong_press_count_total
0.0,0.0,correct,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.09079690627180612,1.0,0.9583501861645625,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,12
0.0,0.0,mismatched,10000,,,,,,,0.08865411482178248,1.0,0.9583501861645625,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,12
0.0,0.0,zero,10000,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.4,0.0,correct,25000,0.1538461538461538,0.3589743589743589,0.06593406593406592,0.0879120879120879,0.0,0.3333333333333333,0.02741737531927916,0.8765307664871216,0.4200672312424733,0.3589743589743589,0.0,0.46153846153846156,0.3076923076923077,13,0.0879120879120879,0.0,0.3333333333333333,0.0,0.07142857142857144,0.0,0.15384615384615385,2
0.0,0.0,mismatched,25000,,,,,,,0.046611627248617324,1.0,0.6248514044743317,0.20512820512820512,0.0,0.3076923076923077,0.15384615384615385,13,0.02197802197802198,0.0,0.3333333333333333,0.0,0.03571428571428572,0.0,0.3076923076923077,4
0.0,0.0,zero,25000,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,1.0,correct,50000,0.4358974358974359,0.7948717948717948,0.21684981684981686,0.24981684981684982,0.08333333333333337,0.6666666666666666,0.0130009230118818,0.3157861530780792,0.1616079986381989,0.7948717948717948,0.6666666666666666,1.0,0.6923076923076923,13,0.24981684981684982,0.14285714285714288,0.6666666666666666,0.6666666666666666,0.17380952380952386,0.14285714285714288,0.0,0
0.0,0.0,mismatched,50000,,,,,,,0.07096687456807839,1.0,0.788695776835084,0.3589743589743589,0.0,0.5384615384615384,0.2692307692307692,13,0.03296703296703297,0.0,0.5833333333333333,0.0,0.053571428571428575,0.0,0.46153846153846156,6
0.0,0.0,zero,50000,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,1.0,correct,100000,0.4358974358974359,0.7948717948717948,0.2886446886446886,0.3311355311355311,0.08333333333333337,0.6666666666666666,0.021287818339008554,0.8773844838142395,0.2967968210577965,0.7948717948717948,0.6666666666666666,1.0,0.6923076923076923,13,0.3311355311355311,0.14285714285714288,0.6666666666666666,0.6666666666666666,0.2047619047619048,0.14285714285714288,0.0,0
0.0,0.0,mismatched,100000,,,,,,,0.09276175905878727,1.0,0.7941645613083472,0.3589743589743589,0.0,0.5384615384615384,0.2692307692307692,13,0.0424908424908425,0.0,0.5833333333333333,0.0,0.06904761904761907,0.0,0.46153846153846156,6
0.0,0.0,zero,100000,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,1.0,correct,250000,0.4358974358974359,0.7948717948717948,0.3953574203574203,0.494804378627908,0.08333333333333337,0.6666666666666666,0.012909628252068964,0.43975505232810974,0.19273954948696953,0.7948717948717948,0.6666666666666666,1.0,0.6923076923076923,13,0.494804378627908,0.2666666666666667,0.6666666666666666,0.6666666666666666,0.377920751633987,0.2666666666666667,0.0,0
0.0,0.0,mismatched,250000,,,,,,,0.12661225060001016,1.0,0.8176953299687459,0.3589743589743589,0.0,0.5384615384615384,0.2692307692307692,13,0.09944695827048769,0.0,0.5833333333333333,0.0,0.1616013071895425,0.0,0.46153846153846156,6
0.0,0.0,zero,250000,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,1.0,correct,500000,0.4615384615384614,0.8307692307692306,0.5434565434565435,0.6494394494394494,0.125,0.725,0.0234453434867856,0.8986585140228271,0.27369185651724154,0.8307692307692306,0.6666666666666666,0.9743589743589743,0.7692307692307693,13,0.6494394494394494,0.2666666666666667,0.725,0.6666666666666666,0.5667027417027417,0.2666666666666667,0.07692307692307693,1
0.0,0.0,mismatched,500000,,,,,,,0.20592162875601877,1.0,0.8136064691039232,0.3692307692307692,0.0,0.5128205128205128,0.3076923076923077,13,0.10598290598290598,0.0,0.6,0.0,0.17222222222222222,0.0,0.6153846153846154,8
0.0,0.0,zero,500000,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.8,0.0,correct,750000,0.35897435897435886,0.7282051282051281,0.4226190476190476,0.5286019536019536,0.08333333333333337,0.6833333333333333,0.02467893879287518,0.9209842085838318,0.3192066533061174,0.7282051282051281,0.0,0.8974358974358976,0.6538461538461539,13,0.5286019536019536,0.0,0.6833333333333333,0.6666666666666666,0.5107638888888889,0.2666666666666667,0.07692307692307693,1
0.0,0.0,mismatched,750000,,,,,,,0.17136381565091702,1.0,0.7208543952841026,0.3692307692307692,0.0,0.5128205128205128,0.3076923076923077,13,0.10598290598290598,0.0,0.6,0.0,0.17222222222222222,0.0,0.46153846153846156,6
0.0,0.0,zero,750000,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,1.0,correct,1000000,0.4615384615384613,0.8461538461538459,0.5461205461205461,0.652103452103452,0.125,0.75,0.017428690703729027,0.3830046057701111,0.23182815198714918,0.8461538461538459,0.6666666666666666,1.0,0.7692307692307693,13,0.652103452103452,0.2666666666666667,0.75,0.6666666666666666,0.5710317460317461,0.2666666666666667,0.0,0
0.0,0.0,mismatched,1000000,,,,,,,0.206077004596591,1.0,0.8183019665571359,0.38461538461538464,0.0,0.5384615384615384,0.3076923076923077,13,0.10598290598290598,0.0,0.625,0.0,0.17222222222222222,0.0,0.5384615384615384,7
0.0,0.0,zero,1000000,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
