audio_mode,audio_split,checkpoint_path,checkpoint_sha256,checkpoint_step,integrated_unintended_key_state,max_target_key_state,max_unintended_key_state,mean_action_saturation,mismatched_sequence,native_reward_sum,pressed_key_f1,pressed_key_precision,pressed_key_recall,pressed_keys,sequence,sequence_group,sequence_name,shaped_return,strict_outcome,target_keys,timestep_f1,timestep_precision,timestep_recall,variant_index,wrong_press_count,wrong_pressed_keys
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.07666045427322388,0.0,0.8635542392730713,0.0984848484848485,,5.7480264917075985,0.0,0.0,0.0,,72,anchor,anchor_72,-13.481826740350762,missed,51,0.0,0.0,0.0,0,0,
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.0,0.0,0.0,0.12878787878787878,,8.0818479093896,0.0,0.0,0.0,,72,anchor,anchor_72,-0.006314085753634572,missed,51,0.0,0.0,0.0,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.08048103153705598,0.0,0.9707338809967041,0.0909090909090909,73,5.174865861511469,0.0,0.0,0.0,56,72,anchor,anchor_72,-18.545937908721736,missed,51,0.0,0.0,0.0,0,1,56
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.07501038908958435,0.6388867497444153,0.9707338809967041,0.0909090909090909,,5.5228671124904,0.0,0.0,0.0,56,73,anchor,anchor_73,-9.468536356191143,missed,52,0.0,0.0,0.0,0,1,56
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.0,0.0,0.0,0.12878787878787878,,8.0818479093896,0.0,0.0,0.0,,73,anchor,anchor_73,-0.006314085753634572,missed,52,0.0,0.0,0.0,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.06109255924820901,0.6348046660423279,0.9751268625259399,0.12121212121212122,74,4.748371397834949,0.0,0.0,0.0,56,73,anchor,anchor_73,-10.483429446102097,missed,52,0.0,0.0,0.0,0,1,56
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.0804965764284134,0.0,0.9751268625259399,0.12121212121212122,,4.500116063104417,0.0,0.0,0.0,56,74,anchor,anchor_74,-17.969494002723774,missed,53,0.0,0.0,0.0,0,1,56
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.0,0.0,0.0,0.12878787878787878,,8.0818479093896,0.0,0.0,0.0,,74,anchor,anchor_74,-0.006314085753634572,missed,53,0.0,0.0,0.0,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.08051792085170746,0.0,0.9743993878364563,0.12878787878787878,75,4.010237110488839,0.0,0.0,0.0,56,74,anchor,anchor_74,-17.729482275639917,missed,53,0.0,0.0,0.0,0,1,56
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.08051792085170746,0.20992304384708405,0.9743993878364563,0.12878787878787878,,4.0133362923955,0.0,0.0,0.0,56,75,anchor,anchor_75,-16.912430646408634,missed,54,0.0,0.0,0.0,0,1,56
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.0,0.0,0.0,0.12878787878787878,,8.0818479093896,0.0,0.0,0.0,,75,anchor,anchor_75,-0.006314085753634572,missed,54,0.0,0.0,0.0,0,0,
