audio_mode,audio_split,checkpoint_path,checkpoint_sha256,checkpoint_step,integrated_unintended_key_state,max_target_key_state,max_unintended_key_state,mean_action_saturation,mismatched_sequence,native_reward_sum,pressed_key_f1,pressed_key_precision,pressed_key_recall,pressed_keys,sequence,sequence_group,sequence_name,shaped_return,strict_outcome,target_keys,timestep_f1,timestep_precision,timestep_recall,variant_index,wrong_press_count,wrong_pressed_keys
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.03683528006076813,0.0,0.7367056012153625,0.05303030303030304,,5.282525059215216,0.0,0.0,0.0,,72,anchor,anchor_72,-6.232792129596074,missed,51,0.0,0.0,0.0,0,0,
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.03683528006076813,0.0,0.7367056012153625,0.05303030303030304,,5.282524887737381,0.0,0.0,0.0,,72,anchor,anchor_72,-6.232792129640778,missed,51,0.0,0.0,0.0,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.03683528006076813,0.0,0.7367056012153625,0.05303030303030304,73,5.282524940779229,0.0,0.0,0.0,,72,anchor,anchor_72,-6.232792129648229,missed,51,0.0,0.0,0.0,0,0,
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.03683528006076813,0.0,0.7367056012153625,0.05303030303030304,,5.282524940779229,0.0,0.0,0.0,,73,anchor,anchor_73,-3.659380927217502,missed,52,0.0,0.0,0.0,0,0,
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.03683528006076813,0.0,0.7367056012153625,0.05303030303030304,,5.282524887737381,0.0,0.0,0.0,,73,anchor,anchor_73,-3.659380927210052,missed,52,0.0,0.0,0.0,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.03683528006076813,0.0,0.7367056012153625,0.05303030303030304,74,5.282525103152583,0.0,0.0,0.0,,73,anchor,anchor_73,-3.659380926979084,missed,52,0.0,0.0,0.0,0,0,
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.0,0.7367056012153625,0.0,0.05303030303030304,,5.611247914367306,0.0,0.0,0.0,,74,anchor,anchor_74,2.9405584829710425,near_clean_partial,53,0.0,0.0,0.0,0,0,
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.0,0.7367056012153625,0.0,0.05303030303030304,,5.611247698952104,0.0,0.0,0.0,,74,anchor,anchor_74,2.9405584827400744,near_clean_partial,53,0.0,0.0,0.0,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.0,0.7367056012153625,0.0,0.05303030303030304,75,5.611247836041994,0.0,0.0,0.0,,74,anchor,anchor_74,2.940558482762426,near_clean_partial,53,0.0,0.0,0.0,0,0,
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.03683528006076813,0.0,0.7367056012153625,0.05303030303030304,,5.2825250248272715,0.0,0.0,0.0,,75,anchor,anchor_75,-3.6593809271877005,missed,54,0.0,0.0,0.0,0,0,
