checkpoint_path,checkpoint_sha256,checkpoint_step,max_abs_action_diff_correct_mismatched,max_abs_action_diff_correct_zero,mean_abs_action_diff_correct_mismatched,mean_abs_action_diff_correct_zero,mismatched_sequence,sequence,sequence_group,sequence_name
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.0,0.0,0.0,0.0,73,72,anchor,anchor_72
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.0,0.0,0.0,0.0,74,73,anchor,anchor_73
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.0,0.0,0.0,0.0,75,74,anchor,anchor_74
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.0,0.0,0.0,0.0,76,75,anchor,anchor_75
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.0,0.0,0.0,0.0,72,76,anchor,anchor_76
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.0,0.0,0.0,0.0,73-72,72-73,transition,transition_72_73
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.0,0.0,0.0,0.0,73-74,73-72,transition,transition_73_72
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.0,0.0,0.0,0.0,74-73,73-74,transition,transition_73_74
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.0,0.0,0.0,0.0,74-75,74-73,transition,transition_74_73
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.0,0.0,0.0,0.0,75-74,74-75,transition,transition_74_75
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.0,0.0,0.0,0.0,75-76,75-74,transition,transition_75_74
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.0,0.0,0.0,0.0,76-75,75-76,transition,transition_75_76
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed37_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,fbabaf2a72a05525108616d930e95a9faca80a14484123ab7743c93150b5b536,10000,0.0,0.0,0.0,0.0,72-73,76-75,transition,transition_76_75
