checkpoint_path,checkpoint_sha256,checkpoint_step,max_abs_action_diff_correct_mismatched,max_abs_action_diff_correct_zero,mean_abs_action_diff_correct_mismatched,mean_abs_action_diff_correct_zero,mismatched_sequence,sequence,sequence_group,sequence_name
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07729363441467285,0.7327148914337158,0.028594153001904488,0.1970842033624649,73,72,anchor,anchor_72
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.13436941802501678,0.6769168376922607,0.02977067045867443,0.17578034102916718,74,73,anchor,anchor_73
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.6871739029884338,0.6979845762252808,0.18656902015209198,0.19596633315086365,75,74,anchor,anchor_74
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.8490850329399109,1.097806692123413,0.21906128525733948,0.33592915534973145,76,75,anchor,anchor_75
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.12562884390354156,0.6456712484359741,0.04499639943242073,0.16368591785430908,72,76,anchor,anchor_76
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.0776066780090332,0.7325977087020874,0.028710896149277687,0.19720320403575897,73-72,72-73,transition,transition_72_73
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.0,0.676909327507019,0.0,0.17577628791332245,73-74,73-72,transition,transition_73_72
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.13531655073165894,0.676909327507019,0.029957639053463936,0.17577628791332245,74-73,73-74,transition,transition_73_74
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.0,0.6979451775550842,0.0,0.19606876373291016,74-75,74-73,transition,transition_74_73
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.6864577531814575,0.6979451775550842,0.1864674687385559,0.19606876373291016,75-74,74-75,transition,transition_74_75
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.0,1.0979362726211548,0.0,0.33599764108657837,75-76,75-74,transition,transition_75_74
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.8495739102363586,1.0979362726211548,0.2192128747701645,0.33599764108657837,76-75,75-76,transition,transition_75_76
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.12605400383472443,0.6456855535507202,0.0451570600271225,0.16363312304019928,72-73,76-75,transition,transition_76_75
