audio_mode,audio_split,checkpoint_path,checkpoint_sha256,checkpoint_step,integrated_unintended_key_state,max_target_key_state,max_unintended_key_state,mean_action_saturation,mismatched_sequence,native_reward_sum,pressed_key_f1,pressed_key_precision,pressed_key_recall,pressed_keys,sequence,sequence_group,sequence_name,shaped_return,strict_outcome,target_keys,timestep_f1,timestep_precision,timestep_recall,variant_index,wrong_press_count,wrong_pressed_keys
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.05794531404972077,1.0,0.8038792610168457,0.12878787878787878,76,4.125784274190512,1.0,1.0,1.0,54,75,anchor,anchor_75,2.407356288002905,clean_high_unintended,54,0.2857142857142857,1.0,0.16666666666666666,0,0,
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.08208519220352173,0.0,1.0,0.12878787878787878,,2.9176843652942557,0.0,0.0,0.0,54,76,anchor,anchor_76,-18.98803909793643,missed,55,0.0,0.0,0.0,0,1,54
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07016645967960358,0.0,0.807183563709259,0.1818181818181818,,2.4191421445832137,0.0,0.0,0.0,,76,anchor,anchor_76,-7.728463109935805,missed,55,0.0,0.0,0.0,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07549026310443879,0.0,0.8724768757820129,0.13636363636363635,72,3.0730123844866637,0.0,0.0,0.0,53,76,anchor,anchor_76,-13.501067186936593,missed,55,0.0,0.0,0.0,0,1,53
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07547461092472077,0.0,0.8720128536224365,0.08441558441558442,,9.841418961359649,0.0,0.0,0.0,53,72-73,transition,transition_72_73,-15.374243953326468,missed,51-52,0.0,0.0,0.0,0,1,53
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07016645967960358,0.0,0.807183563709259,0.20779220779220772,,13.588078800777387,0.0,0.0,0.0,,72-73,transition,transition_72_73,-12.330300151306085,missed,51-52,0.0,0.0,0.0,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.15101611986756325,0.0,1.0,0.09415584415584417,73-72,10.863138127859623,0.0,0.0,0.0,56,72-73,transition,transition_72_73,-42.64860566882016,missed,51-52,0.0,0.0,0.0,0,1,56
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.15101611986756325,0.329980731010437,1.0,0.09415584415584417,,10.87751226879964,0.0,0.0,0.0,56,73-72,transition,transition_73_72,-37.83544160828759,missed,51-52,0.0,0.0,0.0,0,1,56
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07016645967960358,0.40762683749198914,0.807183563709259,0.20779220779220772,,13.621244659687223,0.0,0.0,0.0,,73-72,transition,transition_73_72,-10.116991564292968,missed,51-52,0.0,0.0,0.0,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.19539997130632403,0.329980731010437,0.9199977517127991,0.08441558441558442,73-74,9.386605156323236,0.0,0.0,0.0,55,73-72,transition,transition_73_72,-51.436071691079846,missed,51-52,0.0,0.0,0.0,0,1,55
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.19539997130632403,0.329980731010437,0.9199977517127991,0.08441558441558442,,9.386605156323236,0.0,0.0,0.0,55,73-74,transition,transition_73_74,-51.436071691079846,missed,52-53,0.0,0.0,0.0,0,1,55
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07016645967960358,0.40762683749198914,0.807183563709259,0.20779220779220772,,13.621244659687223,0.0,0.0,0.0,,73-74,transition,transition_73_74,-10.116991564292968,missed,52-53,0.0,0.0,0.0,0,0,
